Observation,DataMarking,UnitMulitplier,UnitofMeasure,MeasureType,QualityIndicator,GeographyCode,GeographyLabel,Time,Measure Type,Score Band
20.86,,1,Percent,Percentage,0.659033504,Total,,2013,Anxious,6-10 High
7.75,,1,Percent,Percentage,48.79677193,10,,2013,Anxious,6-10 High
16.85,,1,Percent,Percentage,14.75820752,20,,2013,Anxious,6-10 High
23.83,,1,Percent,Percentage,23.89946405,30,,2013,Anxious,6-10 High
15.05,,1,Percent,Percentage,21.89811162,40,,2013,Anxious,6-10 High
17.23,,1,Percent,Percentage,23.37577393,50,,2013,Anxious,6-10 High
23.52,,1,Percent,Percentage,19.56924018,60,,2013,Anxious,6-10 High
26.37,,1,Percent,Percentage,11.07530068,70,,2013,Anxious,6-10 High
8.43,,1,Percent,Percentage,42.60422742,80,,2013,Anxious,6-10 High
31.92,,1,Percent,Percentage,20.55247526,90,,2013,Anxious,6-10 High
26.45,,1,Percent,Percentage,23.78196093,100,,2013,Anxious,6-10 High
8.17,,1,Percent,Percentage,41.64979097,110,,2013,Anxious,6-10 High
16.38,,1,Percent,Percentage,17.66394457,120,,2013,Anxious,6-10 High
18.35,,1,Percent,Percentage,20.02864082,130,,2013,Anxious,6-10 High
6.6,,1,Percent,Percentage,44.08754261,140,,2013,Anxious,6-10 High
5.33,,1,Percent,Percentage,38.18868341,150,,2013,Anxious,6-10 High
27.35,,1,Percent,Percentage,30.73345168,160,,2013,Anxious,6-10 High
8.28,,1,Percent,Percentage,47.72451291,170,,2013,Anxious,6-10 High
19.47,,1,Percent,Percentage,12.23456608,180,,2013,Anxious,6-10 High
23.62,,1,Percent,Percentage,14.21356614,190,,2013,Anxious,6-10 High
11.7,,1,Percent,Percentage,38.32773381,200,,2013,Anxious,6-10 High
24.15,,1,Percent,Percentage,35.53727222,210,,2013,Anxious,6-10 High
13.15,,1,Percent,Percentage,16.64275909,220,,2013,Anxious,6-10 High
22.15,,1,Percent,Percentage,17.96199569,230,,2013,Anxious,6-10 High
9.79,,1,Percent,Percentage,32.53114005,240,,2013,Anxious,6-10 High
22.57,,1,Percent,Percentage,27.19867124,250,,2013,Anxious,6-10 High
29.23,,1,Percent,Percentage,18.5083949,260,,2013,Anxious,6-10 High
23.12,,1,Percent,Percentage,11.81715269,11UB,,2013,Anxious,6-10 High
23.98,,1,Percent,Percentage,15.32511217,11UC,,2013,Anxious,6-10 High
20.11,,1,Percent,Percentage,24.01188557,11UE,,2013,Anxious,6-10 High
19.69,,1,Percent,Percentage,14.76651123,11UF,,2013,Anxious,6-10 High
18.78,,1,Percent,Percentage,24.73315284,12UB,,2013,Anxious,6-10 High
15.61,,1,Percent,Percentage,23.15068157,12UC,,2013,Anxious,6-10 High
20.72,,1,Percent,Percentage,23.06664283,12UD,,2013,Anxious,6-10 High
15.67,,1,Percent,Percentage,20.33685634,12UE,,2013,Anxious,6-10 High
21.69,,1,Percent,Percentage,12.81517923,12UG,,2013,Anxious,6-10 High
18.39,,1,Percent,Percentage,15.32714139,16UB,,2013,Anxious,6-10 High
18.79,,1,Percent,Percentage,18.97416221,16UC,,2013,Anxious,6-10 High
23.66,,1,Percent,Percentage,15.65520955,16UD,,2013,Anxious,6-10 High
23.81,,1,Percent,Percentage,20.88454909,16UE,,2013,Anxious,6-10 High
33.98,,1,Percent,Percentage,14.65194031,16UF,,2013,Anxious,6-10 High
21.15,,1,Percent,Percentage,15.23750554,16UG,,2013,Anxious,6-10 High
18.8,,1,Percent,Percentage,15.51486611,17UB,,2013,Anxious,6-10 High
19.8,,1,Percent,Percentage,25.72496815,17UC,,2013,Anxious,6-10 High
23.14,,1,Percent,Percentage,16.03882928,17UD,,2013,Anxious,6-10 High
17.58,,1,Percent,Percentage,26.40676282,17UF,,2013,Anxious,6-10 High
19.58,,1,Percent,Percentage,17.26518462,17UG,,2013,Anxious,6-10 High
22.8,,1,Percent,Percentage,18.57422851,17UH,,2013,Anxious,6-10 High
24.05,,1,Percent,Percentage,13.74733534,17UJ,,2013,Anxious,6-10 High
29.13,,1,Percent,Percentage,15.83153467,17UK,,2013,Anxious,6-10 High
17.04,,1,Percent,Percentage,19.43157459,18UB,,2013,Anxious,6-10 High
24.09,,1,Percent,Percentage,19.63823923,18UC,,2013,Anxious,6-10 High
18.09,,1,Percent,Percentage,24.74827475,18UD,,2013,Anxious,6-10 High
17.5,,1,Percent,Percentage,24.36536558,18UE,,2013,Anxious,6-10 High
23.87,,1,Percent,Percentage,17.61865505,18UG,,2013,Anxious,6-10 High
16.76,,1,Percent,Percentage,16.46774892,18UH,,2013,Anxious,6-10 High
16.76,,1,Percent,Percentage,21.95067269,18UK,,2013,Anxious,6-10 High
14.14,,1,Percent,Percentage,30.63225576,18UL,,2013,Anxious,6-10 High
19.62,,1,Percent,Percentage,20.49498811,19UC,,2013,Anxious,6-10 High
21.43,,1,Percent,Percentage,14.78960471,19UD,,2013,Anxious,6-10 High
19.41,,1,Percent,Percentage,20.05324598,19UE,,2013,Anxious,6-10 High
26.59,,1,Percent,Percentage,17.11974445,19UG,,2013,Anxious,6-10 High
20.62,,1,Percent,Percentage,17.17301112,19UH,,2013,Anxious,6-10 High
16.67,,1,Percent,Percentage,18.47674233,19UJ,,2013,Anxious,6-10 High
21.13,,1,Percent,Percentage,18.4604413,21UC,,2013,Anxious,6-10 High
20.56,,1,Percent,Percentage,16.28311589,21UD,,2013,Anxious,6-10 High
17.59,,1,Percent,Percentage,24.17516993,21UF,,2013,Anxious,6-10 High
19.37,,1,Percent,Percentage,17.09554767,21UG,,2013,Anxious,6-10 High
19.05,,1,Percent,Percentage,15.00352104,21UH,,2013,Anxious,6-10 High
24.35,,1,Percent,Percentage,16.07389876,22UB,,2013,Anxious,6-10 High
18.33,,1,Percent,Percentage,16.67989941,22UC,,2013,Anxious,6-10 High
24.52,,1,Percent,Percentage,21.44342686,22UD,,2013,Anxious,6-10 High
26.8,,1,Percent,Percentage,28.01773942,22UE,,2013,Anxious,6-10 High
15.11,,1,Percent,Percentage,14.08995593,22UF,,2013,Anxious,6-10 High
18.15,,1,Percent,Percentage,14.17460628,22UG,,2013,Anxious,6-10 High
16.87,,1,Percent,Percentage,23.88521837,22UH,,2013,Anxious,6-10 High
21.61,,1,Percent,Percentage,25.90923425,22UJ,,2013,Anxious,6-10 High
15.67,,1,Percent,Percentage,26.59876687,22UK,,2013,Anxious,6-10 High
20.21,,1,Percent,Percentage,24.19136667,22UL,,2013,Anxious,6-10 High
18.03,,1,Percent,Percentage,17.8983222,22UN,,2013,Anxious,6-10 High
16.72,,1,Percent,Percentage,21.48525277,22UQ,,2013,Anxious,6-10 High
21.5,,1,Percent,Percentage,21.65089164,23UB,,2013,Anxious,6-10 High
14.06,,1,Percent,Percentage,19.75737459,23UC,,2013,Anxious,6-10 High
